scenario,scenario_label,window,months_scored,min_index,min_date,max_index,max_date,high,moderate,low,critical
v1_partial,"v1.0.0 partial (crime, homelessness, trust excluded)",2008,25,55.17,2009-12-01,64.40,2008-12-01,0,25,0,0
v1_partial,"v1.0.0 partial (crime, homelessness, trust excluded)",2020,12,45.51,2020-04-01,60.48,2020-03-01,0,5,7,0
v1_partial,"v1.0.0 partial (crime, homelessness, trust excluded)",recent,56,38.72,2025-10-01,65.14,2025-04-01,0,43,12,1
v1_held,v1.0.0 held constant (2723 / 0.23 / 41),2008,25,56.90,2009-12-01,61.90,2008-12-01,0,25,0,0
v1_held,v1.0.0 held constant (2723 / 0.23 / 41),2020,12,51.67,2020-04-01,59.78,2020-03-01,0,8,4,0
v1_held,v1.0.0 held constant (2723 / 0.23 / 41),recent,56,53.55,2025-10-01,61.74,2025-04-01,0,55,1,0
v1_held_without_debt,"v1.0.0 held, debt removed",2008,25,56.69,2009-12-01,61.78,2009-07-01,0,25,0,0
v1_held_without_debt,"v1.0.0 held, debt removed",2020,12,55.27,2020-04-01,62.41,2020-03-01,0,12,0,0
v1_held_without_debt,"v1.0.0 held, debt removed",recent,56,55.56,2022-06-01,61.74,2025-04-01,0,56,0,0
v1_held_without_homelessness,"v1.0.0 held, homelessness removed",2008,25,57.32,2009-12-01,63.03,2008-12-01,0,25,0,0
v1_held_without_homelessness,"v1.0.0 held, homelessness removed",2020,12,51.34,2020-04-01,60.60,2020-03-01,0,9,3,0
v1_held_without_homelessness,"v1.0.0 held, homelessness removed",recent,56,53.44,2025-10-01,63.10,2025-04-01,0,55,1,0
v1_held_without_trust,"v1.0.0 held, trust removed",2008,25,58.03,2009-12-01,64.03,2008-12-01,0,25,0,0
v1_held_without_trust,"v1.0.0 held, trust removed",2020,12,51.75,2020-04-01,61.48,2020-03-01,0,9,3,0
v1_held_without_trust,"v1.0.0 held, trust removed",recent,56,54.39,2025-10-01,64.36,2025-04-01,0,55,1,0
v1_partial_without_debt,"v1.0.0 partial, debt also removed",2008,25,53.92,2009-12-01,65.24,2009-07-01,0,24,1,0
v1_partial_without_debt,"v1.0.0 partial, debt also removed",2020,12,50.77,2020-04-01,66.64,2020-03-01,0,10,2,0
v1_partial_without_debt,"v1.0.0 partial, debt also removed",recent,55,51.42,2022-06-01,65.14,2025-04-01,0,45,10,0
v2,v2 candidate (crime trial when the RTCI month exists),2008,25,45.62,2008-10-01,70.29,2009-08-01,1,21,3,0
v2,v2 candidate (crime trial when the RTCI month exists),2020,12,48.32,2020-04-01,76.35,2020-01-01,2,8,2,0
v2,v2 candidate (crime trial when the RTCI month exists),recent,56,52.87,2022-06-01,81.27,2025-10-01,39,12,5,0
v2_without_crime,v2 candidate with crime always excluded,2008,25,45.62,2008-10-01,70.29,2009-08-01,1,21,3,0
v2_without_crime,v2 candidate with crime always excluded,2020,12,43.24,2020-04-01,77.50,2020-01-01,2,7,3,0
v2_without_crime,v2 candidate with crime always excluded,recent,56,48.85,2022-06-01,85.30,2025-10-01,38,8,10,0
v2_if_unrate,v2 basket with UNRATE instead of the labor composite,2008,25,45.20,2008-10-01,71.40,2009-09-01,4,18,3,0
v2_if_unrate,v2 basket with UNRATE instead of the labor composite,2020,12,54.01,2020-04-01,75.87,2020-01-01,2,9,1,0
v2_if_unrate,v2 basket with UNRATE instead of the labor composite,recent,56,54.12,2022-06-01,81.27,2025-10-01,38,15,3,0
v2_if_epop_only,v2 basket with prime-age EPOP instead of the composite,2008,25,45.30,2008-10-01,68.45,2009-08-01,0,19,6,0
v2_if_epop_only,v2 basket with prime-age EPOP instead of the composite,2020,12,45.79,2020-04-01,77.10,2020-01-01,2,8,2,0
v2_if_epop_only,v2 basket with prime-age EPOP instead of the composite,recent,56,53.75,2022-06-01,81.27,2025-10-01,39,14,3,0
v2_if_debt_included,v2 basket plus debt-to-GDP at weight 0.12,2008,25,47.89,2008-10-01,68.82,2009-08-01,0,22,3,0
v2_if_debt_included,v2 basket plus debt-to-GDP at weight 0.12,2020,12,46.75,2020-04-01,73.16,2020-01-01,2,7,3,0
v2_if_debt_included,v2 basket plus debt-to-GDP at weight 0.12,recent,56,52.87,2022-06-01,76.75,2024-07-01,33,18,5,0
v2_if_crime_held,v2 basket with crime held at the locked 2723,2008,25,50.08,2008-10-01,70.30,2009-08-01,2,21,2,0
v2_if_crime_held,v2 basket with crime held at the locked 2723,2020,12,48.12,2020-04-01,76.21,2020-01-01,2,8,2,0
v2_if_crime_held,v2 basket with crime held at the locked 2723,recent,56,52.72,2022-06-01,77.83,2025-10-01,38,13,5,0
