date,gold_usd_per_oz,silver_usd_per_oz,dxy
2026-04-21,4784.2998,78.966,118.0795
2026-04-25,4600.0,73.413,118.7294
2026-05-01,4615.3999,75.472,118.7294
2026-05-08,4715.7002,80.468,118.3926
2026-05-15,4541.2002,76.092,118.0392
2026-05-22,4510.5,75.643,119.2825
2026-05-29,4540.2998,75.4,119.2868
2026-06-05,4330.0,67.965,118.8783
2026-06-12,4220.2998,68.157,120.0831
2026-06-19,4156.7002,64.961,119.5073
2026-06-26,4090.6001,59.298,120.3958
2026-07-03,4176.1001,62.517,120.8866
2026-07-10,4121.3999,60.014,120.6902
2026-07-17,4019.3,56.08,120.5046
2026-07-24,4053.7,58.282,120.5315
2026-08-01,4043.7,57.69,120.7105
