date,bugout_index,inflation_rate,incident_rate,unemployment_rate,debt_to_gdp_ratio,homelessness_rate,trust_in_government,inflation_rate_normalized,incident_rate_normalized,unemployment_rate_normalized,debt_to_gdp_ratio_normalized,homelessness_rate_normalized,trust_in_government_normalized
2026-04-21,57.03,3.2859577528652006,2723.0,4.3,122.56815,0.23,41.0,46.86,70.36,82.8,38.72,54.0,51.25
2026-04-25,57.03,3.2859577528652006,2723.0,4.3,122.56815,0.23,41.0,46.86,70.36,82.8,38.72,54.0,51.25
2026-05-01,57.03,3.2859577528652006,2723.0,4.3,122.56815,0.23,41.0,46.86,70.36,82.8,38.72,54.0,51.25
2026-05-08,57.03,3.2859577528652006,2723.0,4.3,122.56815,0.23,41.0,46.86,70.36,82.8,38.72,54.0,51.25
2026-05-15,56.62,3.7792458367415627,2723.0,4.3,122.56815,0.23,41.0,44.88,70.36,82.8,38.72,54.0,51.25
2026-05-22,56.62,3.7792458367415627,2723.0,4.3,122.56815,0.23,41.0,44.88,70.36,82.8,38.72,54.0,51.25
2026-05-29,56.62,3.7792458367415627,2723.0,4.3,122.56815,0.23,41.0,44.88,70.36,82.8,38.72,54.0,51.25
2026-06-05,56.62,3.7792458367415627,2723.0,4.3,122.56815,0.23,41.0,44.88,70.36,82.8,38.72,54.0,51.25
2026-06-12,56.3,4.166614684049648,2723.0,4.3,122.56815,0.23,41.0,43.33,70.36,82.8,38.72,54.0,51.25
2026-06-19,56.28,4.166614684049648,2723.0,4.3,122.77209,0.23,41.0,43.33,70.36,82.8,38.61,54.0,51.25
2026-06-26,56.3,4.166614684049648,2723.0,4.3,122.59387,0.23,41.0,43.33,70.36,82.8,38.7,54.0,51.25
2026-07-03,56.36,4.166614684049648,2723.0,4.2,122.59387,0.23,41.0,43.33,70.36,83.2,38.7,54.0,51.25
2026-07-10,56.36,4.166614684049648,2723.0,4.2,122.59387,0.23,41.0,43.33,70.36,83.2,38.7,54.0,51.25
2026-07-17,56.95,3.4635307293854063,2723.0,4.2,122.59387,0.23,41.0,46.15,70.36,83.2,38.7,54.0,51.25
2026-07-24,56.95,3.4635307293854063,2723.0,4.2,122.59387,0.23,41.0,46.15,70.36,83.2,38.7,54.0,51.25
2026-08-01,56.95,3.4635307293854063,2723.0,4.2,122.59387,0.23,41.0,46.15,70.36,83.2,38.7,54.0,51.25
2026-08-07,57.02,3.4635307293854063,2723.0,4.1,122.59387,0.23,41.0,46.15,70.36,83.6,38.7,54.0,51.25
2026-08-14,57.15,3.303856050706308,2723.0,4.1,122.59387,0.23,41.0,46.78,70.36,83.6,38.7,54.0,51.25
2026-08-21,57.15,3.303856050706308,2723.0,4.1,122.59387,0.23,41.0,46.78,70.36,83.6,38.7,54.0,51.25
2026-08-29,57.15,3.303856050706308,2723.0,4.1,122.59387,0.23,41.0,46.78,70.36,83.6,38.7,54.0,51.25
2026-09-05,57.15,3.303856050706308,2723.0,4.1,122.59387,0.23,41.0,46.78,70.36,83.6,38.7,54.0,51.25
